HLE,HLN,HLZ
0.121777,0.05978,-0.048438
0.136802,0.042003,-0.082074
0.138271,0.017161,-0.118261
0.126693,-0.011408,-0.151373
0.105098,-0.03899,-0.173508
0.077114,-0.061425,-0.176671
0.045436,-0.076764,-0.156338
0.011993,-0.085314,-0.114345
-0.02111,-0.088534,-0.058796
-0.051145,-0.087717,0.049123
-0.075141,-0.083358,0.086905
-0.090867,-0.075671,0.111722
-0.097608,-0.065362,0.124607
-0.09607,-0.053762,0.126431
-0.088005,-0.042396,0.118167
-0.076125,-0.032428,0.102794
-0.064164,-0.024469,0.086055
-0.056541,-0.018881,0.073886
-0.057272,-0.015854,0.068765
-0.068114,-0.014717,0.068114
-0.087063,-0.013373,0.06569
-0.10849,0.01536,0.055602
-0.124953,0.031434,0.035975
-0.130169,0.044822,-0.019342
-0.121513,0.052943,-0.046904
-0.100458,0.055756,-0.073111
-0.071296,0.054855,-0.09919
-0.038844,0.051405,-0.124367
0.024685,0.04477,-0.143893
0.054602,0.033262,-0.150126
0.082812,0.01611,-0.136879
0.106774,-0.024909,-0.103584
0.122179,-0.038587,-0.055925
0.124769,-0.042292,0.042452
0.112876,-0.036279,0.07434
0.088942,-0.02443,0.088256
0.058665,-0.011513,0.085854
0.028844,0.01107,0.073195
-0.011495,0.025256,0.05801
0.019283,0.04556,0.045623
0.032,0.071834,0.03606
0.043135,0.100198,0.024812
0.05313,0.124488,-0.020436
0.062682,0.139002,-0.051004
0.07203,0.141044,-0.075552
0.080659,0.131855,-0.084633
0.087285,0.115569,-0.074266
0.090091,0.09644,-0.048221
0.087283,0.076225,-0.015122
0.077918,0.053623,0.016616
0.06269,0.025853,0.04229
0.043937,-0.046857,0.0612
0.024367,-0.084219,0.073641
-0.012194,-0.114589,0.077881
-0.030133,-0.134269,0.070208
-0.049732,-0.143387,0.047586
-0.072394,-0.145288,0.011182
-0.098981,-0.144438,-0.031728
-0.129269,-0.143929,-0.069548
-0.161161,-0.143826,-0.090849
-0.190525,-0.141315,-0.089597
-0.212388,-0.132387,-0.068096
-0.222597,-0.11433,-0.035255
-0.218812,-0.087474,0.023835
-0.200734,-0.054933,0.039519
